chunk_id,documento_id,texto_con_pistas,etiqueta_anotador1,etiqueta_anotador2
doc_166238_sec02_chk02,166238.txt,"Las diversas iniciativas llevadas a cabo desde Europa, con vistas a propiciar un espacio europeo en el que puedan homologarse las titulaciones universitarias entre los estados miembros de la UE, han puesto hincapié, entre otras cuestiones, en la importancia de aplicar las nuevas tecnologías a la docencia. Este interés de Europa por las nuevas tecnologías llega a todos los ámbitos docentes, ya sea en el nivel básico de educación obligatoria, como en la enseñanza secundaria, y por supuesto, en la universidad2. El Espacio Europeo de Enseñanza Universitaria EEES apuesta por el uso de los medidos informáticos, como se pone de manifiesto por los numerosos cursos que se les ofrece al profesorado para dominar, manejar, utilizar adecuadamente las nuevas tecnologías de la información Internet, foro, chat, aula virtual de las asignaturas, en el caso concreto de las universidades.

Para Yániz Álvarez 2006 la pedagogía universitaria actual, asumida en las implicaciones curriculares de la creación del Espacio Europeo de Educación Superior EEES, comprende una serie de aspectos. Uno de ellos es el acercamiento del conocimiento a la realidad a través de supuestos prácticos que respondan a contextos reales; el aprendizaje activo, a través de la reflexión y la aplicación, fundamentalmente; la comprensión profunda y consiguiente significatividad, relacionando los contenidos teóricos con el contexto. Todas estas cuestiones son trabajadazas cuando se utiliza el foro como metodología docente. Al llevar a cabo estas medidas que se recomiendan desde la Unión Europea, para aplicarlas al EEES, hay que tener en cuenta la planificación de la actividad docente, dándole protagonismo al alumno. En este sentido, siguiendo con Yániz Álvarez 2006, el procedimiento o pasos básicos a seguir en la planificación de actividades, con respecto a las competencias que se quiere que adquieran el alumnado, pueden ser varios. Uno de ellos consiste en determinar los resultados que se espera o desea conseguir del alumno, con relación a estas competencias, que vienen recogidas en la guía docente de la asignatura. Asimismo, destacando los aspectos más importantes, hay que diseñar estrategias adecuadas, coherentes y consistentes con los resultados pretendidos y los recursos disponibles. La docencia centrada en las nuevas tecnologías permite superar las limitaciones de la docencia tradicional, que según Martínez 2004 serían las siguientes: la poca participación del alumno, el absentismo escolar y su evolución a lo largo del curso, la falta de procesos de evaluación continua y de autoevaluación, la falta de estímulos personales en el proceso de aprendizaje, y la sensación de soledad del docente frente a una clase básicamente preocupada por la recopilación de apuntes. No obstante, también las nuevas tecnologías tienen sus limitaciones para la docencia, a las que hay que hacer frente con las estrategias adecuadas.",,
doc_82316646_sec03_chk03,82316646.txt,"De todas las actividades y recursos que el docente y los alumnos del profesorado pueden utilizar como estrategias didácticas, se señala que algunos funcionan como mediación instrumental, y son los instrumentos psicológicos que permiten presentar, ordenar, exponer,

etc. el contenido. Otros funcionan como mediación social, y son los intercambios personales, las interacciones que se producen en las actividades conjuntas o colectivas. Entonces el proceso de aprendizaje equivale a un proceso de interiorización que logra mejores resultados en la medida en que los procesos de mediación instrumental y social se articulan, teniendo en cuenta las condiciones objetivas del contenido a enseñar y las condiciones subjetivas de los docentes y alumnos. Se toma en cuenta también como aspecto importante la Interacción Socio Cognitiva: la cognición humana óptima se lleva a cabo con la colaboración de otras personas y de objetos físicos y simbólicos que potencian las capacidades individuales. Así los procesos grupales de construcción de conocimientos se constituyen en medios altamente productivos para el logro de un aprendizaje significativo, aunque en ellos se hace necesaria una intervención del docente cuidadosa, optimizando las actividades, facilitando los intercambios cognitivos, supervisando, recuperando oportunamente lo producido en cada grupo, y logrando la reorganización final de los conocimientos. Básicamente se pueden categorizar en tres tipos actividades que se realizan en las 2 clases destinadas al estudio de contenidos propuestos: conceptualización, investigación y demostración Samper, C. et. al., 2003, con las que se espera que los alumnos movilicen su razonamiento geométrico. Cabe aclarar que estas actividades pueden presentarse de manera simultánea en las situaciones problemáticas que se plantean a los alumnos y, con frecuencia, de investigación puede dar lugar a la construcción del concepto de una relación geométrica y a la vez propiciar que los alumnos argumenten los resultados de esa investigación, esto último como parte de una tarea de demostración. Estos tres tipos de actividades conceptualización, investigación y demostración pueden realizarse dentro del marco del enfoque de resolución de problemas, cuya idea principal radica en el hecho de que los alumnos construyen conocimiento geométrico al resolver problemas. Gráfico 1",,
doc_82316646_sec02_chk02,82316646.txt,"La enseñanza de la Geometría en las últimas décadas se caracterizaba por una fuerte tendencia a la memorización de conceptos y propiedades, que muchas veces se basaban en alumnos Barrantes, M. et. al. 2014. Sin embargo, como es muy frecuente que los conocimientos construidos por la comunidad científica acerca de cómo se aprende, como es el caso del cognitivismo, se hayan traspolado aplicación didáctica, por lo cual, es necesario que los conocimientos teóricos se transformen en la práctica y en manos del docente en estrategias didácticas adecuadas. Frente a lo expresado, una alternativa viable es identificar a la actividad matemática con la actividad de modelización Gascón, J. 2002; Cecilia Bixio utiliza este concepto para designar al conjunto de las acciones que realiza el docente con clara y explícita intencionalidad pedagógica Bixio, 1998 - p.35, las que deben:

Apoyarse en las construcciones previas de los alumnos para garantizar la significatividad de los contenidos a aprender. Ser factibles de desarrollarse en el transcurso del ciclo lectivo, con la cantidad de alumnos con que se cuenta y con la carga horaria destinada. Orientar las construcciones de conocimientos lo más significativos posibles, para ello el material debe ser potencialmente significativo. Ser pertinentes con los objetivos. Adecuarse a las posibilidades reales del docente y a las condiciones materiales de la institución donde se realiza dicha práctica. Desde el campo de la Didáctica de la matemática, este trabajo se apoya en las aportaciones de Guy Brousseau y su Teoría de las Situaciones Didácticas. Este autor introduce como objeto de estudio de la Didáctica de la Matemática la Situación Didáctica a la que define como: Un conjunto de relaciones establecidas explícita yo implícitamente entre un alumno o un grupo de alumnos, un cierto medio que comprende eventualmente instrumentos u objetos y un sistema educativo representado por el profesor con la finalidad de lograr que estos alumnos se apropien de un saber constituido o en vías de constitución en Sadovsky, intencionalidad ni interviene para indicar al alumno lo que debe hacer; lo que realiza es una devolución del problema; provoca que el alumno acepte la responsabilidad de una situación de aprendizaje. En síntesis, al decir de Patricia Sadovsky, la noción situación fundamental pone una señal que convoca a conocer, para cada grupo de conceptos, que problemas matemáticos darían lugar a construcciones potentes en el aula.",,
doc_129073730_sec02_chk02,129073730.txt,"Esto lo explica el autor diciendo que en los grupos pequeños hay una tendencia sorprendente a la éxplotación de los grandes por los pequeños. Los bienes colectivos determinan el comportamiento de los grupos que los persiguen. Olson distingue grupos que se comportan de forma Exclusiva o Inclusiva, según sea la naturaleza de los beneficios que buscan obtener. Lo interesante de este planteamiento es que reconoce que el comportamiento general del grupo sus miembros como de los objetivos que persigue el conjunto. Por una parte, pueden buscar que haya menos participantes del mercado en el cual están involucrados si esto les favorece en sus intereses y, por otro lado, buscarán mucho apoyo de nuevos integrantes cuando intenten lograr mejores condiciones para su actividad principal. En los grupos exclusivos, de pocos participantes, es muy importante la competencia, pero también es importante la cooperación. Esto se explica, Gómez L en primer lugar, por la necesidad de la participación de todos los miembros en escenarios de negociación, lo consensos pueden establecer procesos de negociación que les favorezcan mucho más que a los miembros cooperantes. En segundo término, porque cada acción afectará en algún grado a los demás participantes y esto hará pensar a los miembros en los posibles efectos de sus acciones mucho más que si hicieran parte de un mercado muy atiborrado de participantes. Los grupos más grandes requieren un esfuerzo mayor. Requieren mecanismos de coordinación y acuerdos en grupos pequeños. Esto parece coherente y podría servir para explicar el comportamiento de las grandes empresas que invierten una proporción significativa de sus recursos en establecer procedimientos de control a sus miembros. La invisibilidad que provee una organización de gran tamaño puede comportarse como un incentivo para algunos miembros que buscan maximigrupos pequeños, donde cada miembro es visible y sus acciones individuales son fácilmente percibidas las mismas herramientas de organización y control necesarias en los grupos grandes. A mayor tamaño, mayores costos de organización y menor probabilidad de obtener beneficios óptimos. De igual manera, mientras más grande el grupo, menor es la fracción que cada uno de sus miembros recibe. Hay menor recompensa para los participantes. Los incentivos para colaborar son menores en los grupos grandes y esta característica exige que se incurra en mayores costos de organización. Estos costos toman la forma de incentivos que deben ser selectivos, es decir, deben ser del tipo premios o castigos, según sea el caso, y la necesidad de aplicarlos a situaciones específicas coacción y recompensas. Las decisiones grupales están afectadas de manera directa por el tamaño de la reunión. En asambleas pequeñas, cada participante tiene un efecto sobre las decisiones del colectivo y, de manera inversa, en grupos grandes los participantes verán menos posibilidad de influir en las decisiones de grupo. Olson afirma que las decisiones de la junta son bienes públicos para los participantes. Debido a esta particularidad, las grandes asambleas optan por los subcomités para tomar decisiones en representación de la masa de miembros que, por ser de mucho mayor tamaño, es poco efectiva para tomar decisiones colectivas. La explicación está en los incentivos: el grupo pequeño tiene incentivos en los grupos de mayor tamaño. Este planteamiento induce a suponer una dialéctica entre los incentivos individuales y los incentivos colectivos. En la primera parte Olson se refiere a los incentivos selectivos que se expresan como sanciones y recompensas útiles para movilizar a los participantes de un grupo latente. Pero existen otros tipos de incentivos como los económicos, de naturaleza individual; operan de manera distinta en cada participante dependiendo de sus propios intereses y condiciones particulares. Los incentivos como la posición social y la aceptación social el autor los identifica como bienes interés en participar en un grupo para lograr mayor reconocimiento social, lo cual también es importante para generar acción en favor de intereses colectivos. Estos bienes de naturaleza individual incluyen el prestigio y la autoestimación, afirma Olson. El asunto del tamaño es significativo en el ensayo de Olson. Según se expresa allí, los grupos grandes que acción coordinada por el solo hecho de que, como grupo, tienen una razón para hacerlo, pero esto podría suceder en los grupos más pequeños. Los grupos pequeños tienen privilegios para la acción colectiva.",,
doc_123120373_sec07_chk04,123120373.txt,"Antes de avanzar en la discusión de los resultados hallados en este trabajo, se expondrán algunas limitaciones que se han identificado en el mismo. Primero, se ha empleado una muestra de tamaño reducido, aunque re-

Contraste de la muestra de condenados por homicidio con la media de la población general de las estrategias de afrontamiento del CRI-A. Valores t para una muestra

presenta la totalidad de condenados por homicidio o tentativa de homicidio del C. P. de Oporto que dieron su consentimiento para participar en la investigación. Segundo, se ha considerado la muestra de condenados como un grupo homogéneo, sin establecer distinciones en función de otras características sociodemográficas o delictivas que podrían resultar relevantes e.g., homicidio doloso o negligente, reincidencia, relación con la vícla creación de grupos más homogéneos con base en variables que podrían mediar en la sintomatología clínica y el afrontamiento. Tercero, se ha limitado la evaluación del ajuste psicológico y de las destrezas para la resolución de problemas a un único instrumento, el SCL-90-R y el CRI-A, respectivamente. Por ende, el empleo de otras pruebas podría derivar en un registro distinto del mo los trastornos relacionados con sustancias consumo de alcohol u otras drogas ni los trastornos de la personalidad que, frecuentemente, se registran entre la población reclusa Guillén, Roth, Alfaro y Fernández, 2015; Vicens et al., 2011. Cuarto, se desconoce si la sintomatología clínica detectada en la evaluación ya estaba presente en el momento de la comisión del crimen, o si su origen fue posterior a la detención y condena. De igual modo acontece con la capacidad de afrontamiento, esto es, se desconoce si el contexto penitenciario pudo haber ejercido algún tipo de influencia sobre las destrezas para resolver problemas. Por último y quinto lugar, se ha asumido que los participantes han cumplimentado las pruebas de manera honesta, sin que se haya ejercido ningún control sobre una potencial simulación o disimulación. En consecuencia, resulta imposible certificar la franqueza en las respuestas dadas.

Considerando estas limitaciones, se ha observado, en primer lugar, que la mayoría de los acusados por homicidio o tentativa de homicidio guardaban algún tipo de relación previa con la víctima. Estos resultados son congruentes con la literatura criminológica, la cual refiere como habitual el mantenimiento de una relación entre la víctima y el agresor McQuade, 2014. Por otro lado, la elevada tasa de reincidencia en diferentes tipos delictivos que se halló en el estudio superior al 40, revela que la muestra de condenados se caracteriza por versatilidad delictiva y tendencia a la reincidencia. En segundo lugar, en el estudio del ajuste psicológico se ha observado que los condenados por homicidio o tentativa de homicidio mostraban puntuaciones significativamente superiores en todas las dimensiones sintomáticas del SCL-90-R, excepto en Hostilidad y Ansiedad Fóbica. Por tanto, en contraste con la población general normativa, padecen más sintomatología somática, obsesivo-compulsiva, de sensibilidad interpersonal, depresiva, ansiosa, paranoide, y psicótica. Además, en el estudio de casos se verificó una prevalencia significativamente superior de casos clínicos en la muestra homicida en todas las dimensiones, menos en la de Hostilidad. De este modo, los condenados presentan una probabilidad significativamente superior de convertirse en caso clínico. Por su parte, los resultados hallados en los índices globales mantienen la misma dirección. La muestra de condenados presenta mayor malestar y sufrimiento psíquico y psicosomático global GSI, más amplitud y diversidad sintomática PST, y una intensidad sintomática media superior PSDI.",,
doc_85786761_sec10_chk07,85786761.txt,"lluvioso, tiene más deseos de escapar en busca de sol y playa a una residencia secundaria al litoral Mediterráneo5 que los hogares que habitan en las ciudades más próximas al mar. Por último, entre las variables analizadas, la región de nacimiento y la tipología migratoria eran las que ejercían menos influencia. La primera mostraba que los hogares en que la persona principal había nacido en el Este y el Centro era más probable que dispusieran de una residencia secundaria. Y la segunda que entre los emigrantes la propensión a la multirresidencia era mayor que entre los sedentarios. En definitiva, en España, además de la posesión de vehículo que está estrechamente relacionada con la disposición de una residencia secundaria, vivir en una ciudad se erige en un fuerte incentivo para entrar en un sistema residencial múltiple, quizá más que en otros países de nuestro entorno. El perfil del residente múltiple español lo conforman hogares en una fase del ciclo de vida avanzada y de elevado nivel de estudios que ya han pagado su primera vivienda y pueden hacer frente a los gastos que acarrea la compra en la mayoría de los casos y el mantenimiento de otra vivienda. Las preguntas que inevitablemente se plantean son: cómo España con un desarrollo económico y con un nivel de vida general inferiores al de la mayoría de los países de nuestro entorno la residencia secundaria tienen tal trascendencia?, qué buscan los condiciones de vida de las ciudades españolas sobre todo, la elevada densidad y el reducido tamaño de las viviendas en la multirresidencia? El lector interesado encontrará algunas respuestas en la comunicación de Módenes y López Colás: Expansión territorial de la residencia secundaria y ciudad compacta en España: elementos de un mismo sistema?.

5 Casi la mitad del parque español de residencias secundaria están localizadas en las once provincias mediterráneas, exactamente el 45,7.",,
doc_81759721_sec02_chk05,81759721.txt,"Por el contrario, consideramos que para alcanzar la felicidad, la verdadera que es algo virtuoso, por lo tanto bueno, y que para cumplir con el deber también uno tiene que ser prudente, ya que esta virtud trata sobre el discernimiento de los medios para saber cuál es el mejor camino para llegar a hacer lo que se debe. hombre prudente se guía por la máxima del amor propio, entendido como que el hombre sea egoísta, ya que también es natural y sano amarse a sí mismo, pero claramente tiene que ser ordenadamente; igualmente tampoco cuando considera que, si actúa con prudencia, es porque busca beneficiarse a costa de los demás o busca perjudicar a alguien más, o aparentar ser bueno. En cambio, como dijimos al principio, estamos de acuerdo con que el prudente discierne qué medio lo lleva a conseguir cierto fin perseguido y que al alcanzar ese fin se logre algún beneficio ya sea para el cuerpo, pero sobre todo para el alma. También con otra cosa, que se dice durante la comparación de la ley moral y la prudencia, que para que el prudente pueda lograr hacer lo que debe, debe tener mucho conocimiento del mundo. Estamos de acuerdo, pero solamente con que el hombre debe conocer, es decir, apoyándonos en Aristóteles, que debe tener ciencia. Se dice que la prudencia es una virtud de adultos o ancianos, haciendo referencia a que es una virtud de personas que por su vida adquirieron experiencia, en consecuencia, podrán discernir sobre el presente apoyándose en lo que vivieron en el pasado. En conclusión, e insistimos, Kant parece confundir la verdadera prudencia que es virtud con la falsa prudencia, según la distinción de Santo Tomás.",,
doc_97220748_sec07_chk06,97220748.txt,"Posteriormente, se comenzará con la valoración inicial, aplicando las herramientas de evaluación anteriormente mencionadas, para recopilar información, e incluirlo dentro del grupo que más se adecua a sus características o limitaciones.

DESARROLLO DE LAS SESIONES: Las sesiones de psicomotricidad, seguirán el siguiente modelo: 1o. Ritual de entrada: Inicio de la sesión. Durante las primeras sesiones, el terapeuta recordará el nombre de los distintos miembros del grupo y las normas que se deben respetar a lo largo de todas las sesiones. Se comenzará con un calentamiento y posteriores estiramientos para trabajar la somatognosia. 2o Desarrollo de la sesión: el terapeuta propone distintas actividades, relacionadas con diferentes objetivos establecidos en el programa. Ocasionalmente, el esquema general de las sesiones podrá verse modificado al proponerse actividades para trabajar la higiene y el vestido. 3o Ritual de salida: el terapeuta da por finalizada la sesión y los niños comentan cómo transcurrió la sesión y qué fue lo que más les gustó.

Las sesiones se realizarán tanto en la cancha de baloncesto como en la sala de psicomotricidad. Algunas de las actividades que se propondrán son: 1. Actividades para trabajar el vestido: Al comienzo y final de la sesión, se establecerá como norma que los niños se quiten y se pongan la chaqueta o abrigo. - Secuenciación sobre cómo vestirse pantalones, camiseta, ropa interior... y preparación de la bolsa de entrenamiento, maleta, bolsa de viaje, etc. - El terapeuta propondrá una serie de situaciones y lo niños deberán elegir la indumentaria adecuada en cada caso. 2. Actividades para trabajar la higiene: Periódicamente al finalizar las sesiones se propondrá que los niños se duchen. Para ello, se necesitará la

colaboración de un acompañante masculino para la supervisión de los chicos. 3. Actividades para trabajar el cálculo: - Los niños se colocarán en dos filas, una enfrente de la otra y deberán realizar pases siguiendo secuencias numéricas 2-4-6...; 12-24-36... - Para trabajar la asociación de números y colores, el terapeuta asignará a los números pares un color y a los impares otro color. En cada extremo de la cancha colocará un cono o aro de cada uno de estos colores. El el conoaro correspondiente. - Se dividirá a los niños en dos grupos formando dos filas. El terapeuta propondrá una operación matemática simple y lanzará el balón al niño que conteste correctamente en el menor tiempo. Conforme avance el programa, la complejidad de las operaciones irá en aumento. 4. Actividades para lateralidad: - Sentar a los niños formando un circulo, el terapeuta dará indicaciones derecha o izquierda y deben levantar la mano correspondiente. Repeticiones y cambios rápidos. - Juego del espejo: niños colocados en fila y deben imitar los gestos del terapeuta, que describirá los movimientos verbalmente nos tocamos la rodilla izquierda con la mano derecha, oreja derecha con la mano izquierda.... Conforme avance el programa, se podrá incorporar desplazamientos laterales hacia la derecha, la izquierda, delante o detrás utilizando el balón. - Los niños sentados en el suelo. El terapeuta colocará enfrente una serie de objetos conos rojo y azul, aros verde y amarillo, pelota verde y roja..., darás indicaciones y deberán levantar la mano derecha o la izquierda según el objeto y el color que indique. Conforme avance el programa, los niños podrán ser divididos en dos grupos y realizar la misma actividad, pero aumentando su grado de complejidad. 5. Actividades para coordinación y coordinación óculo-manual: correr, saltar y ejercicios de lanzamiento. Conforme avance el programa, lanzamientos desde mayor distancia. - Desplazamiento de balones por parejas, sin utilizar las manos, solo otras partes del cuerpo como la espalda, los hombros, etc...",,
doc_79382957_sec06_chk15,79382957.txt,"comercializan a través de su logotipo dando cuenta así de la exhibición espectacular o visual que cada vez tiene más importancia en el consumo de masas. El objetivo de esto es inducir al consumidor para que adquiera una marca y que así se pueda relacionar con un estilo de vida específico. En contraposición a esta moda de consumo de masas está aquella que siguen quienes pretenden crear sus propios estilos de vida con algún toque de distinción valorando otros aspectos, como por ejemplo en este estudio, la sostenibilidad. Como dice Chaney, los estilos de vida ofrecen un conjunto de apoyos a la persona que nos gustaría ser, que tienen sentido en los espacios y lugares que habitamos. Si una persona quiere actuar de manera sostenible en su vida, optará por productos sostenibles ya sean alimentos, ropa, muebles o cualquier otro pero siempre se verá condicionado por la disponibilidad de dichos productos en su entorno. Para aclarar un poco más lo que es un estilo de vida se podría tomar como ejemplo el vegetarianismo. El individuo cambia sus hábitos y poco a poco va evolucionando e incluso puede ir más allá y llegar al veganismo. Después de un tiempo e incluso durante esa evolución también se puede abandonar ese estilo de vida y volver al anterior o evolucionar hacia uno nuevo. Por último, Chaney también defiende que, aunque la moda suele utilizarse para hacer referencia a los cambios de estilo en las prendas de vestir, tiene una importancia más general a la hora de identificar los estilos de vida ya que deja clara la maleabilidad del gusto que lleva consigo. 2.3. CONTEXTO MODA SOSTENIBLE Por qué es necesario que la moda sea sostenible? ver bibliografía 2.3. - Porque es la segunda industria tras la del petróleo más contaminante del mundo, responsable del 20 de los tóxicos que se vierten en el agua. - Porque cada año se venden 80.000 millones de prendas en todo el mundo. - Porque cada español se desprende de unos 7 kilos de ropa al año de los cuales el 75 termina en un vertedero. veces más ricos.

Algunos datos interesantes al respecto: - 3 billones de dólares al año factura el sector textil. Existen 250.000 fábricas y el - Para los tintes que se utilizan en la ropa hacen falta unos 2000 millones de toneladas de productos químicos. - 1400 camisetas por minuto tiran los residentes de una capital de siete millones de habitantes, como Hong Kong. - 7000 litros de agua son necesarios para confeccionar unos vaqueros y para una camiseta de algodón hacen falta 3000. Consume tantos recursos la industria textil que actualmente hay un déficit ecológico. Además, en el año 2013 se produjo el derrumbe de un edificio llamado Rana Plaza, en las afueras de la capital de Bangladesh, fallecieron más de 1000 personas y resultaron heridas otras miles. Allí se realizaban prendas para marcas como Primark, CA o El Corte Inglés. Este incidente hizo que surgiera la campaña Fashion Revolution, que pide una revolución pacífica que exija a esta industria, que esclaviza a trabajadores y que consume los recursos que necesitarán nuestros hijos y nietos, una industria limpia en su más amplio sentido ver bibliografía 2.3.. Han creado un equipo que se encarga de traducir y difundir materiales educativos en colegios, institutos e instituciones educativas. También tienen equipos regionales distribuidos por toda España y dan difusión a iniciativas individuales. Una de las acciones más difundidas que han llevado a cabo ha sido a través de los hashtags QuienHizoMiRopa o WhoMadeMyClothes, consiste en hacer una foto de uno mismo con la ropa del revés y preguntarle a la marca por quién hizo esa prenda. Esta acción coincide cada año con el aniversario del derrumbe del Rana Plaza para tratar de concienciar a la población. La anterior información da cuenta de lo importante que es cambiar el actual sistema por el que se rige la moda. Por la gran cantidad de recursos que consume y contamina, por las malas condiciones de trabajo de las personas que trabajan en la industria en los países en vías de desarrollo. La moda actual es insostenible, por ello, todas las empresas implicadas deben tomar cartas en el asunto.

3. INVESTIGACIÓN En este apartado se va a presentar la investigación realizada para conocer la moda sostenible y estilos de vida a través de diseñadores, distribuidores y consumidores de la ciudad de Zaragoza; dando respuesta así a los tres últimos objetivos específicos de este trabajo.",,
doc_82319088_sec03_chk03,82319088.txt,"Las incubaciones realizadas con el sitio de menor contaminación exhibieron con respecto al pH una tendencia decreciente a lo largo de todo el ensayo hacia pH neutro. En el sitio con mayor contenido de materia orgánica se observó una gran variabilidad acercándose hacia el final del ensayo a pH 7. Las variaciones podrían estar relacionadas con los flujos de C en la interfase sólido-líquido. Las CE en las suspensiones con agua con más COD inicial fueron superiores a los otros dos tratamientos lo que se puede deber a la CE inicial. Para todos los tratamientos las CE resultaron mayores en S2. El Eh fue menos dependiente del tipo de agua y más dependiente del sedimento. En las aguas incubadas con el sedimento menos contaminado se observó un leve incremento de 200mv a

hasta alcanzar un punto de equilibrio en el día 10 y valores levemente superiores hacia el final del ensayo. La presencia de hidrocarburos en el sitio más contaminado generó dificultades en el establecimiento del equilibrio entre el sólido y el líquido, además de una recalcitrancia a la degradación. El COD fue superior en las aguas incubadas con los sedimentos de mayor contenido orgánico. Además la variabilidad entre las mismas fue menor, indicando un control por parte del sedimento mucho mayor en este caso que en aquellas incubadas con el sedimento menos orgánico. Las variaciones entre tratamientos para un mismo sedimento pueden estar relacionadas con la precipitación diferencial de los coloides orgánicos por salinidad Bargiela, 2015. También se puede producir una pérdida de materia orgánica disuelta por precipitación por envejecimiento, observado en los blancos de suspensión, con mayor influencia en el sitio menos contaminado. En las figuras 2a y 2b se puede observar la liberación de Cu al agua a lo largo de todo el ensayo de incubación. En las incubaciones realizadas con sedimentos de ambos sitios, se observa una relación entre la degradación del Corg. del sedimento y la liberación del Cu disuelto hacia la columna de agua. En el caso de S1, hay un flujo importante en los primeros días, asociado a la degradación del Corg. Luego parte del Cu disuelto comienza a precipitar hasta alcanzar un equilibrio para todos los tratamientos con concentraciones cercanas a los 0,05 μgg. Figura 2a. En el caso de S2, la solubilización de Cu presentó una mayor variabilidad, con dos picos de liberación observados en los días 4 y 23, que también se asocian a la degradación del Corg. del sedimento, siendo el primero correspondiente a la fracción más lábil del carbono y el del día 23 a las fracciones más recalcitrantes. Estos procesos de liberación también coexisten con otros procesos de precipitación, donde pueden participar los sulfuros generados a potenciales sucedió con el resto de los parámetros para este sedimento. Los valores máximos de Cu diferencias se asocian a los contenidos iniciales de metales observados en cada uno de los sedimentos Figura 2b. 2.a 2.b

2.c 2.d Variación del Cu Disuelto en las distintas aguas incubadas con sedimento de S2 2c. Variación del Pb disuelto en las distintas aguas incubadas con sedimento de S1. 2d. Variación del Pb disuelto en las distintas aguas incubadas con sedimento de S2. Puede observarse una menor relación entre las curvas de COD y las de liberación de Pb, con respecto al Cu, independientemente del tratamiento. Esto puede deberse a que la materia",,
