id;etiqueta_heuristica;etiqueta_manual;anotador;documento_id;chunk_id_origen;posicion_relativa;etiqueta_retorica_origen;subtipo;razon_planb;longitud_palabras;texto
t2_pos_000050;contribucion;contribucion;;82295611.txt;doc_82295611_sec05_chk06;8045;sin_asignacion;positivo_planb_alto;explicito_propio;439;C. Definir Criterios de Aceptación Los criterios de aceptación son condiciones de satisfacción, específicos para cada user funcionales. El PO debe asegurarse que los criterios de aceptación sean especificados y que sean construidas y ejecutadas las pruebas que verificarán el cumplimiento de esos criterios en el producto. En estos aspectos el PO actúa en parte como analista de negocio y en parte como analista de pruebas. Sin estos criterios, el equipo tendría una comprensión incompleta del ítem del product backlog. Por esta razón, muchos equipos incluyen la existencia clara de criterios de aceptación como parte de la definición del criterio de listo. D. Gestionar la Economía El PO es responsable de asegurar que consistentemente se tomen buenas decisiones económicas relacionadas con el product Backlog, los Sprints y los Releases. A nivel de release el PO debe realizar compensaciones permanentes respecto del alcance, presupuesto, fechas y calidad, conforme recibe información que fluye durante el desarrollo del producto. Las compensaciones realizadas el principio del release, durante la ejecución del mismo. El PO, al revisar los ítems pendientes del product backlog, podrá decidir que el costo de crearlos es mayor que el valor que entregarán y como consecuencia removerá esos ítems. También puede decidir cambiar la cadencia de entrega, que por ejemplo estaba definida cada 5 Sprints, liberando versiones del producto al final de cada sprint. A nivel de cada sprint, el PO también gestionará la economía, asegurándose que se entregue un buen retorno de inversión ROI al final de cada sprint. Respecto de la visión de la economía sobre el product backlog, dado que el PO es quien lo prioriza, si las condiciones económicas cambian, las prioridades del product backlog cambiarán también. Lo expresado en la sección II, Definición del perfil del PO, es lo definido hasta ahora en la literatura ágil. A partir de lo investigado para este trabajo, se propone un conjunto de habilidades esperadas que complementan el perfil. Las mismas se exponen a continuación: Convertir conocimiento tácito en explícito: El conocimiento tácito se trata del conocimiento personal o propio del individuo, este conocimiento se halla profundamente imbricado en la mente de la persona y ampliamente relacionado con la experiencia práctica de la misma. El conocimiento explícito, ese otro tipo de conocimiento, caracterizado por ser más formal y sistemático, que puede ser transmitido al equipo de desarrollo. Nonaka y Takeuchi, 12. Manejo de Léxico Técnico: Entre otras competencias que debe tener el PO, es un léxico y comprensión de términos que seguramente son más propios del desarrollo del software que de su área de experiencia. También se requiere la competencia de integrar un equipo de trabajo con base tecnológica.
t2_neg_000086;no_contribucion;contribucion;;85382361.txt;doc_85382361_sec01_chk01;0;INTRO;negativo_dificil;objetivo_sin_novedad;426;"El presente trabajo informa acerca de algunos aspectos del análisis de un comentario crítico redactado por un grupo de ingresantes a una universidad particular de Lima, y parte de los resultados obtenidos. El objetivo de la investigación ha sido determinar y especificar las dificultades que tiene un grupo de ingresantes de una univer sidad privada de Lima en la construcción de un discurso escrito. Para ello, se hace un análisis de las redacciones elaboradas por dicho grupo. Se eligió esta muestra considerando que a esa universidad asisten alumnos pertenecientes a un nivel socioeconómico bajo. El estudio es importante, porque a través de las redacciones se puede visualizar los efectos del curso de Lenguaje o Comunicación Integral en la primaria y secundaria. Los hallazgos demuestran que los alumnos tienen dificultades en la elaboración de sus discursos escritos. Estas dificultades, en el plano sintáctico, se evidencian en el predominio de construcciones yuxtapues tas, en el uso de los conectores más simples como es la coordinación con la conjunción y; en el nivel morfológico, se ha encontrado errores en el uso de los tiempos verbales, en el uso de las preposiciones; en el ingresantes a las universidades estatales y particulares Responsable: Rosa Natalia Carbonel Apolo. Otros miembros y colaboradores: Lourdes Carpio Salas, Sabino Pariona Casamayor, Victor Manuel Gom:ilez Pumachaico. 86 ESTHER ESPINOZA REATEGU! nivel de la representación escrita, se detectó errores en el empleo de los signos de puntuación, acentuación y grafemas. Metodología Se examlnó una muestra de 50 redacdones de un total de 100. Las redacciones evaluadas corresponden a un comentario crítico acerca de un artículo leido sobre la poesía de César Vallejo. Para garantlzar el domlnlo del tema, la profesora trabajó lecturas referentes a la obra de Vallejo durante tres seslones. Se desarrollaron dlscuslones y debates acerca del contenido de la obra vallejiana y de las opiniones críticas de algunos estudlosos. Antes de la elaboraclón del escrlto, se proporclonó preguntas orientadoras a ftn de ayudar a la organización adecuada de la redacción. Seleccionada la muestra, se procedió a evaluarla en los tres com ponentes propuestos por Danlel Cassany: la adecuaclón, la coheslón y la corrección. l. La adecuaclón.- Se evalúa para dar cuenta de la estructuraclón de los contenidos comunicativos. De la tabla de evaluación que propone Cassany, examinamos los siguientes aspectos: 1.1. Propósito comprenslble: Están claro el objetlvo y las ideas e infortécnicas o complejas para el tema? Tratamiento apropiado de tú o usted? 2. La cohesión. Este componente, a su vez, comprende cuatro aspectos a la puntuación, b los conectores, e los pronombres,"
t2_neg_000095;no_contribucion;no_contribucion;;89339831.txt;doc_89339831_sec01_chk04;4968;INTRO;negativo_dificil;tercero_citado;382;Inés Dussel: la autoridad debe demostrarse cotidianamente para seguir siendo legítima2, a lo que agregamos: caso contrario, sencillamente se pierde, se esfuma, se disuelve, y con ello desaparece la oportunidad de hacer del acto de enseñar y aprender un proceso rico en significados. El pensamiento complejo y la gestión del caos indican que nada es estable, lineal ni previsible. Hervé Seriéyx, 1994 anticipaba la presencia de un universo en transformación permanente donde se conjugan el orden y el desorden, el equilibrio y el desequilibrio, lo programable y las bifurcaciones aleatorias... por qué debería ser la autoridad escolar la excepción de los nuevos tiempos? En todo caso deberíamos hablar de un problema cuya solución también se complejiza: la autoridad docente, para ser tal, rinde examen cada día. en ella también juegan factores institucionales. Gustavo Gorbeter 2007 propone sacar el foco de la percepción de los atributos personales y de personalidad de cada docente para lograr su reconocimiento como autoridad, y colocarlo en el contexto institucional, donde el docente forma parte de un todo, y es legitimado en sus decisiones y ejercicio de autoridad por el resto del equipo de docentes y directivos que consensuan criterios conocidos por todos. Para Gorbeter la autoridad en la escuela se construye institucionalmente. La escuela es una organización burocrática, en ella, los individuos ocupan puestos con responsabilidades y obligaciones formalmente definidas y la autoridad se inscribe en una estructura jerarquizada regulada por un conjunto de normas que se presupone deben ser aplicadas imparcialmente. El tránsito del adolescente por una organización de este tipo contribuye a la configuración de la actitud hacia la autoridad institucional. la percepción que los adolescentes tienen de los reglamentos escolares y del modo en que los profesores ejercen su función influirá en su orientación hacia otros sistemas institucionales. Las aproximaciones teóricas y la lectura de antecedentes de investigación que venimos realizando, nos llevaron a los siguientes planteos en el seno de nuestro equipo de saber, qué pensarán los jóvenes alumnos que por sus condiciones de vulnerabilidad han hecho de la calle su escuela y de su edad una adultez anticipada? Por otro lado si la autoridad docente, la estará reconociendo a la institución toda?, acaso la autoridad se puede heredar, replicar de una persona a otra, de un docente al resto de los docentes?.
t2_neg_000043;no_contribucion;contribucion;;70416235.txt;doc_70416235_sec05_chk04;6753;RES;negativo_facil;zona_sin_senales;260;"sobre-saturación de maestros. Se calcula una cifra aproximada de 28.000 docentes en en ejercicio, alcanzaría a cubrir la demanda de los próximos tres o cuatro años sin necesidad de recurrir a nuevas promociones, aun elevando la tasa de escolaridad al 85 con una mejor utilización de los recursos existentes. base previas evaluaciones. Tales reformas han carecido de un proceso técnico, de preeducación primaria a nivel nacional. esfuerzo educativo hacia la formación del futuro maestro dentro de la realidad del medio en donde deba desenvolverse, para que pueda tener un conocimiento real de los problemas, que le permita analizarlos y participar activamente en sus soluciones; estos factores han sido la causa del distanciamiento, de la limitada participación y apoyo de la comunidad en la tarea educativa. La deficiente calidad de las Escuelas Normales se refleja claramente en la clasificación los requisitos que garanticen la formación de maestros idóneos. Esta afirmación se demuestra con los resultados de las pruebas del ICFES en las cuales uno de los promedios más bajos fue el obtenido por los egresados de las normales, acusando mayor Ante estos resultados el estudio propone la conversión del bachillerato pedagógico a carrera intermedia ofreciendo dentro de ésta, áreas de especialización. normalista, adoptando las restantes, otras modalidades más acordes con las necesidades del país y, establecer una unidad técnica en el Ministerio de Educación Nacional que canalice las políticas de la educación normalista, asesore las Escuelas Normales y se constituya en el centro de comunicación y coordinación con las diferentes dependencias del nivel central y de las entidades regionales."
t2_neg_000056;no_contribucion;no_contribucion;;79363667.txt;doc_79363667_sec09_chk03;1974;METH;negativo_facil;zona_sin_senales;268;DISEÑO DE ESTUDIO Se trata de un estudio descriptivo de un solo sujeto n1. En éste estudio prospectivo y longitudinal, se aplican tres tratamientos que son las variables independientes Vip, y los resultados encontrados rango de movilidad completo, el control postural y la funcionalidad completa son la variable dependiente VD. El paciente firma previamente un consentimiento informado Anexo I. Se valora el rango articular activo y pasivo mediante goniometría. La utilización y fiabilidad de este instrumento de medida está ampliamente demostrada.13, 14 La valoración se realiza con el paciente sentado y se evalúan los movimientos de flexión, extensión, abducción y rotación. Se realiza el registro del grado de dolor percibido por el paciente mediante una escala visual analógica, siendo 0 la ausencia de dolor y 10 el mayor dolor imaginable Anexo II. Se considerada un método válido y adecuado para medir el dolor percibido.15 Por último se realiza la observación, registro y análisis de la postura del y tres después del tratamiento de RPG. Las fotografías se toman con la cámara Samsung WB600 con el paciente en bipedestación, registrando su postura en un plano anterior, sagital y posterior. También se registra otra dedos-suelo y para valorar las desviaciones de raquis, hipomovilidades y compensaciones foto 4 y dos fotos para valorar la posición de la cabeza respecto al ápex de la columna vertebral dorsal antes y después del tratamiento foto 8 y 9. Para añadir la cuadrícula de fondo 10x10 se utiliza el programa informático Adobe Photoshop CS3 EXTENDED Version 10.0. Paciente Fecha de nacimiento: 16021987 Edad: 26 Motivo: Pérdida de movilidad del hombro derecho.
t2_neg_000080;no_contribucion;no_contribucion;;84096778.txt;doc_84096778_sec01_chk01;14;INTRO;negativo_dificil;tercero_citado;344;Entre los desafíos de la actividad docente, el abordaje de la articulación entre teoría y práctica en los procesos de enseñanzaaprendizaje, es de los más acuciantes y pone en juego nuestro know how profesional e involucra decisiones sobre el proyecto educativo y el contexto social Masnatta et al., 2013 y Álvarez, 2012b. En este marco, es habitual que la teoría sea desarrollada por los docentes mediante diferentes tipos de actividades: clases teóricas de corte tradicional en las cuales el docente expone un tema específico, lectura de bibliografía especializada y debates. Sin embargo, en las asignaturas de carreras ingenieriles normalmente es necesario buscar un equilibro de la teoría con las actividades prácticas para lograr una mejor comprensión de los temas desarrollados. Esto se logra reconociendo la necesidad de los aportes que cada una realiza a la acción didáctica Álvarez, 2012a. Como es indicado en Álvarez, 2012b: la relación teoría-práctica educativa constituye un eterno problema, al que a lo largo de la historia se le han dado dos tipos fundamentales de respuesta enfrentadas: el enfoque científico-tecnológico y el hermenéutico-interpretativo, que enfatizan en el poder de la teoría para dominar la práctica en el primer caso, y en el poder de la práctica para dominar a la teoría en el segundo. En este contexto, la cátedra de una asignatura de la Universidad Tecnológica Nacional Facultad Regional Buenos Aires UTN FRBA ha intentado saldar este tipo de desfasaje mediante la inclusión de un trabajo práctico y la modificación de su metodología de trabajo. De esta forma aspira inscribirse en la corriente de un tercer paradigma, aquel que pretende balancear los tantos. En este artículo se describe primero, el contexto en que se realiza dicho trabajo sección 2 y el problema detectado por la cátedra sección 3. Luego, se identifica la solución propuesta sección 4 la cual es IX Congreso de Tecnolog a en Educacio n Educacio n en Tecnolog a 47 implementada y cuyos resultados obtenidos son analizados sección 5. Finalmente, se presentan las conclusiones generales obtenidas con las futuras líneas de trabajo sección 6.
t2_neg_000083;no_contribucion;no_contribucion;;84110338.txt;doc_84110338_sec03_chk02;2484;METH;negativo_dificil;senal_contrib_no_propia;453;"el real alcance de la tecnología. En este paso, es posible que algunas familias de la Comunidad se presten para utilizar el equipamiento a modo de préstamo para seguir practicando cocciones y completar la idea del uso de la tecnología. Además se aprovecha para realizar encuestas de situación yo reflexión en conjunto respecto de las necesidades reales existentes en la Comunidad y sus posibles vías de solución. 2- Prueba y motivación de la Comunidad en el uso de los sistemas, dado por el uso de los dispositivos de prueba con acompañamiento de personal del grupo investigador. 3- Adquisición de materiales necesarios: se realiza la búsqueda de los materiales necesarios para concretar el taller de armado y manejo, con plena participación del futuro usuario. 4- Taller de armado y manejo, que se divide en grupos, los cuales, arman los artefactos de todos, sin identificación aún del que será propiedad de cada uno, para permitir dedicarse por igual a cada uno de los equipos armados. 5- Seguimiento en el uso de la tecnología acompañando el proceso de apropiación y adopción final de la tecnología. Este proceso metodológico general puede cumplimentar los pasos, tomando en cuenta las posibilidades reales de trabajo limitación en la disponibilidad de recursos, alejamiento de la Comunidad para su visita, entusiasmo de la comunidad, etc.. En este caso, fue interesante observar que en dos visitas se realizaron los 4 pasos hasta llegar a la realización del taller de armado y manejo de la tecnología. Estando en este momento en proceso de seguimiento llevado a cabo por la Lic. Alejandra Fernández de la zona de Malargüe y por el equipo investigador. La ciudad de Malargüe, se encuentra a 421 Km al Sur de la ciudad de Mendoza y a 1.475 m sobre el La Figura 2 muestra la situación geográfica en el mapa de Mendoza y la localización del Barrio Los Intendentes, lugar de trabajo de la presente transferencia tecnológica dentro de la ciudad de Malargüe. Las características socioeconómicas de los participantes son las de acentuada y notoria marginalidad al sistema urbano, lo que además del exiguo monto de los ingresos percibidos por las familias que vendedores ambulantes y Kioscos muestra un contraste con el alto nivel de vida del territorio situado a muy poca distancia del predio, lo que refleja la brecha, generadora de situaciones de conflicto. Así entonces, es que existe también el la zona, casos de jóvenes judicializados, incluidos en los programas de la UMA, institución ésta que lleva adelante sus actividades propias con el aporte de técnicos del Dto. de San Rafael. F igura 2: izq. localización del Dto. de Malargüe distante 420 km. de la ciudad de Mendoza; der. localización de la comunidad Bo Municipal Calle ANCAAMUN"
t2_neg_000006;no_contribucion;no_contribucion;;109497523.txt;doc_109497523_sec04_chk04;1752;RES;negativo_dificil;tercero_citado;340;"Cada una de las técnicas seleccionadas aporta sus propios beneficios a la investigación, lo que facilitará el posterior análisis e identificación de temas dentro de los discursos recogidos. En este sentido, las entrevistas suponen la principal fuente de información a partir de una conversación pautada basada en una serie de preguntas básicas, pero con la libertad de poder reconducir el diálogo y abrirlo a nuevos temas de acuerdo con el discurso del informante; por su parte, los grupos de debate permiten observar la interacción de varios informantes sobre un mismo aspecto y abren la posibilidad a la aparición de nuevas causas como resultado de la discusión entre sus miembros2; por último, las anotaciones del profesor3 aportan información aclaratoria sobre la actuación de los informantes y sus compañeros dentro de las dinámicas del aula4. Respecto a la entrevista semiestructurada, cabe destacar que fue elegida por su mayor flexibilidad, privacidad y su suficiente uniformidad para alcanzar los objetivos propuestos. Las preguntas que la componen fueron establecidas partiendo de la literatura existente sobre el tema y de nuestro conocimiento de la realidad educativa y sociocultural de Asia Oriental. De cualquier modo, esta se iba adaptando de acuerdo con la información aportada por el entrevistado5. Veinticuatro fueron los informantes que participaron en la fase de entrevistas, cinco por cada curso que compone el grado más cuatro estudiantes de máster. El propuesto por Glaser y Strauss 1967. La selección de informantes se realizó intentando diversificar el tipo de estudiante, según la actitud mostrada por este en las clases de conversación. Los participantes fueron debidamente informados sobre el objetivo y la finalidad de las entrevistas, decidiendo participar voluntariamente en el proyecto. Sus edades oscilaban entre los 18 y los 26 años. Las entrevistas fueron realizadas, grabadas y transcritas durante el primer semestre del curso 2019-2020. Se obtuvo un total de 821 minutos de grabación. A los estudiantes con mayor nivel de español se les realizó la entrevista directamente, mientras que para aquellos con menor nivel necesitamos la ayuda de un estudiante de máster como intérprete."
t2_pos_000074;contribucion;no_contribucion;;84105715.txt;doc_84105715_sec04_chk04;652;sin_asignacion;positivo_planb_alto;explicito_propio;421;"aspectos de la Epidemiología Comunitaria, si entendemos por ésta a las estrategias por las que la comunidad asume la responsabilidad y experimenta la capacidad de ser protagonista y narrar la historia de cómo las enfermedades se cruzan con su vida Tognoni, 2011. Asimismo, la llamada Investigación-Acción-Participativa IAP se vuelve un concepto útil para pensar este estudio en tanto propone incorporar a la población involucrada en el problema desde el momento de producción de la información, y para ello se debe producir una relación horizontal entre sujetos que juntos construyen conocimiento e inventan nuevos caminos. En la estrategia que estamos analizando, esto es un horizonte clave, pero en el proceso hubo dificultades para llevarlo adelante. En primer lugar, el instrumento que se utilizó para la fase cuantitativa propuesta outsider respecto a la comunidad con la que trabajamos, y eso genera en el inicio una asimetría, que se refuerza cuando trabajamos con organismos del estado municipal o provincial a necesariamente negativo, sino una oportunidad de enriquecimiento mutuo. Si bien estas son algunas limitantes, la lectura sobre la IAP permite pensar las potencialidades de este tipo de trabajo. En primer lugar, en el momento de mapeo se encuentra el investigador externo con los referentes de la comunidad, quienes delimitan el barrio, definen las zonas a sondear, y aportan las miradas y respuestas locales al problema. En este sentido, se busca la articulación de los conocimientos específicos o locales con el conocimiento general mediante el proceso de acción, reflexión y acción transformadora Fals Borda, 1990; citado en Enríquez, 2007. Según Fals Borda, el propósito del método de la IAP es producir conocimiento que tenga relevancia para la práctica social y política. Además, según Sirvent 1994; citado en Enríquez, ciencias sociales, como es en nuestro caso, una encuesta a hogares, pero se pueden utilizar siempre y cuando se les otorgue nuevos sentidos. Nos preguntamos Qué son los nuevos sentidos? Cómo se obtienen? Esto último se relaciona con la estrategia de Fals Borda de devolución sistemática. Por esta se entiende la instancia de devolución de información a los participantes de manera tal que la investigación adquiera una función pedagógica. El dispositivo que estamos analizando tiene un momento de devolución pensado para trabajar con la comunidad los datos hallados, y abrir con ello un espacio de taller, debate y reflexión, que pudiera convocar a pensar estrategias de prevención yo abordaje Fals Borda, 1990; citado en Enríquez, 2007. Este autor plantea la necesidad de simplificar la información a la hora de devolverla, expresar los resultados en un"
t2_neg_000070;no_contribucion;no_contribucion;;82321069.txt;doc_82321069_sec01_chk01;44;INTRO;negativo_dificil;tercero_citado;471;"Didáctica, es una materia obligatoria del Profesorado y de la Licenciatura en Ciencias de la Educación. Se ubica en el segundo año de la estructura curricular de ambas carreras. El programa de la cátedra en 201628, se conformó con 4 unidades temáticas cuyos contenidos se abordaron tanto en las instancias de trabajos prácticos como en las clases teóricas. A lo largo de la materia, los estudiantes analizan las prácticas de enseñanza como procesos complejos, constituidos por sujetos sociales y objetos de conocimiento, configurados sociocultural e históricamente; acceden a los saberes conceptuales e instrumentales que la Didáctica puede aportar al mejoramiento de las prácticas de enseñanza; debaten y analizan los aspectos conceptuales y los problemas teórico-epistemológicos de la Didáctica como disciplina; y reflexionan críticamente sobre el ejercicio de la práctica docente y sus posibilidades de transformación áulica, institucional y social. La metodología de trabajo propuesta por la cátedra plantea actividades que posibilitan la realización de una evaluación permanente y formativa entre todos los actores que participamos de la cursada. Los intercambios, discusiones y producciones promovidos tanto las clases teóricas como en los trabajos prácticos, dan lugar a la explicitación de los conocimientos de los estudiantes ya sean aquéllos más ligados al sentido común como aquellos construidos LA ENSEÑANZA UNIVERSITARIA A 100 AÑOS DE LA REFORMA: LEGADOS, TRANSFORMACIONES Y COM- PROMISOS. MEMORIAS DE LAS 2o JORNADAS SOBRE LAS PRÁCTICAS DOCENTES EN LA UNIVERSIDAD PÚBLICA. a partir de las lecturas realizadas como punto de partida para la crítica y la construcción de nuevos saberes. Por ello, acompañamos a los estudiantes en el desarrollo de las actividades, con la intención de resolver dudas y realizar comentarios que tiendan a la integración conceptual y la sistematización de saberes. En ese marco de acción, al finalizar la unidad 2, es que proponemos un examen parcial que plantea la profundización de aspectos teórico-conceptuales propios de la disciplina. Sin embargo, como la Didáctica es un campo en movimiento, la resolución de la consigna del examen también puede plantear controversias ya que los saberes que allí se ponen en juego pueden considerarse saberes puramente instrumentales29. Desde la cátedra consideramos que las prácticas de enseñanza requieren ser analizadas en contexto, ya que cada uno de los componentes de la tríada didáctica sujeto de enseñanza, sujeto de aprendizaje y objeto de conocimiento tienen sustento en procesos sociales más amplios y se introducen en la lógica particular de desenvolvimiento de los procesos educativos. Es por ello que diseñamos una evaluación que contemple la posibilidad de recuperar contenidos de la materia y, al mismo tiempo, permita analizar una programación de la enseñanza situada en un contexto específico. En este sentido, el propósito fue el de favorecer la formación del estudiante como un sujeto-docente envuelto en un proceso de construcción y en una dinámica reflexiva que recupere la teoría y la práctica."
